Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2892,Motor Elite 7,100,56,0.56,3,01 - 24 - 36 - 43 - 47 - 54,14 - 24 - 36 - 44 - 46 - 54,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2892,Aleatorio,100,67,0.67,3,16 - 24 - 28 - 36 - 38 - 54,14 - 24 - 36 - 44 - 46 - 54,15,15.0,1,1.0,0,0.0,0,0.0,0,0.0
2893,Motor Elite 7,100,32,0.32,2,01 - 13 - 19 - 40 - 50 - 60,10 - 40 - 41 - 45 - 48 - 50,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0
2893,Aleatorio,100,67,0.67,3,41 - 43 - 45 - 48 - 53 - 60,10 - 40 - 41 - 45 - 48 - 50,16,16.0,1,1.0,0,0.0,0,0.0,0,0.0
2894,Motor Elite 7,100,70,0.7,3,05 - 17 - 24 - 49 - 54 - 57,05 - 21 - 24 - 25 - 29 - 49,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
2894,Aleatorio,100,72,0.72,3,21 - 29 - 32 - 35 - 43 - 49,05 - 21 - 24 - 25 - 29 - 49,12,12.0,3,3.0,0,0.0,0,0.0,0,0.0
2895,Motor Elite 7,100,58,0.58,2,03 - 19 - 24 - 31 - 44 - 51,09 - 11 - 44 - 51 - 52 - 56,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0
2895,Aleatorio,100,62,0.62,2,02 - 04 - 06 - 11 - 37 - 52,09 - 11 - 44 - 51 - 52 - 56,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0
2896,Motor Elite 7,100,63,0.63,3,05 - 09 - 40 - 43 - 53 - 54,08 - 09 - 12 - 16 - 43 - 53,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
2896,Aleatorio,100,54,0.54,3,11 - 16 - 40 - 43 - 50 - 53,08 - 09 - 12 - 16 - 43 - 53,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
2897,Motor Elite 7,100,54,0.54,3,11 - 27 - 28 - 30 - 39 - 57,01 - 06 - 24 - 27 - 28 - 57,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
